sample,datetime,id,branch,SUBWS,ec,ph,turb,tn,nh4n,no3n,tp,po4,doc,don,time_round,date_group,ec_ravg,ph_ravg,turb_ravg,tn_ravg,nh4n_ravg,no3n_ravg,tp_ravg,po4_ravg,doc_ravg,don_ravg,firstq,lastq,volume_cf,rain_mm,mean_Q_cfs,sd_Q_cfs,min_Q_cfs,max_Q_cfs,volume_liters,rain_ft,runoff_ft,runoff_ratio,vol_shift,rain_liters,ec_grams,ph_grams,turb_grams,tn_grams,nh4n_grams,no3n_grams,tp_grams,po4_grams,doc_grams,don_grams,ec_kg,ph_kg,turb_kg,tn_kg,nh4n_kg,no3n_kg,tp_kg,po4_kg,doc_kg,don_kg,ec_ha,ph_ha,turb_ha,tn_ha,nh4n_ha,no3n_ha,tp_ha,po4_ha,doc_ha,don_ha,ec_ravg_grams,ph_ravg_grams,turb_ravg_grams,tn_ravg_grams,nh4n_ravg_grams,no3n_ravg_grams,tp_ravg_grams,po4_ravg_grams,doc_ravg_grams,don_ravg_grams,ec_ravg_kg,ph_ravg_kg,turb_ravg_kg,tn_ravg_kg,nh4n_ravg_kg,no3n_ravg_kg,tp_ravg_kg,po4_ravg_kg,doc_ravg_kg,don_ravg_kg,ec_ravg_ha,ph_ravg_ha,turb_ravg_ha,tn_ravg_ha,nh4n_ravg_ha,no3n_ravg_ha,tp_ravg_ha,po4_ravg_ha,doc_ravg_ha,don_ravg_ha
16,2016-05-26T18:35:00Z,SFC,SF,SFC,156,7.28,1.76,0.11,0.02,0,0.015,0.005,2.54,0.09,2016-05-26T18:40:00Z,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.498,0.263,1062055.2,12.954,0.3496132727631839,0.05793444910192925,0.253,0.501,30074054.603954397,0.042500001360000005,0.02327081420127761,1.8263220612911204,NA,54924960.00000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,2016-06-30T22:30:00Z,SFC V-notch poud BES,SF,SFC,119,7.6,1.94,0.13,0.02,0,0.013,0.01,2.37,0.11,2016-06-30T22:30:00Z,3,137.5,7.4399999999999995,1.85,0.12,0.02,0,0.013999999999999999,0.0075,2.455,0.1,0.265,22.8,117429409.32,1418.2852,5.149599594800821,12.308602806204044,0.0547,167,3325230617.014814,4.653166815568,2.573009355871048,1.808453127055479,30074054.603954397,6013529248,3578812.497870573,228562.81499005342,58343.66593167153,3909.627098514072,601.481092079088,0,390.96270985140717,300.740546039544,71275.50941137192,3308.1460064349835,3578.812497870573,228.56281499005343,58.34366593167153,3.9096270985140715,0.601481092079088,0,0.39096270985140713,0.300740546039544,71.27550941137193,3.3081460064349835,8.440595513845691,0.5390632429010694,0.13760298568790455,0.009220818628570923,0.0014185874813186037,0,9.220818628570923e-4,7.092937406593018e-4,0.16810261653625455,0.0078022311472523195,4135182.5080437297,223750.96625342072,55637.00101731564,3608.8865524745274,601.481092079088,0,421.03676445536155,225.55540952965796,73831.80405270804,3007.40546039544,4135.18250804373,223.7509662534207,55.63700101731564,3.6088865524745275,0.601481092079088,0,0.42103676445536153,0.22555540952965797,73.83180405270805,3.00740546039544,9.752788934065402,0.5277145430505206,0.13121934202197086,0.008511524887911622,0.0014185874813186037,0,9.930112369230225e-4,5.319703054944764e-4,0.17413161333185861,0.0070929374065930185
253,2017-03-21T20:45:00Z,NA,SF,SFC,115,7.71,54.4,0.77,0.02,0.08,0.076,0,4.17,0.67,2017-03-21T20:50:00Z,4,117,7.654999999999999,28.169999999999998,0.45,0.02,0.04,0.0445,0.005,3.27,0.39,22.6,3.48,12585378,141.69644,6.606497637795275,6.1094071547511435,1.61,37.6,356378223.263166,0.4648833482096,0.27575967152257885,1.6858279009501065,3325230617.014814,600792905.6,382401520.9567036,25637528.057184216,180892545.56560588,2560427.575101407,66504.61234029627,266018.4493611851,252717.52689312588,0,13866211.672951775,2227904.513399925,382401.52095670364,25637.528057184216,180892.54556560586,2560.4275751014065,66.50461234029628,266.0184493611851,252.71752689312586,0,13866.211672951775,2227.9045133999252,901.890379614867,60.46586805939673,426.6333621830327,6.038744280899544,0.15685050080258556,0.6274020032103422,0.5960319030498251,0,32.70332941733909,5.254491776886616,389051982.1907332,25454640.3732484,93671746.4813073,1496353.7776566662,66504.61234029627,133009.22468059254,147972.76245715923,16626.153085074067,10873504.11763844,1296839.9406357775,389051.9821907332,25454.6403732484,93671.7464813073,1496.3537776566664,66.50461234029628,133.00922468059255,147.97276245715923,16.62615308507407,10873.50411763844,1296.8399406357776,917.5754296951254,60.03452918218962,220.92393038044176,3.5291362680581755,0.15685050080258556,0.3137010016051711,0.3489923642857529,0.03921262520064639,25.645056881222736,3.058584765650419
266,2017-04-12T22:01:00Z,NA,SF,SFC,142,7.73,12.4,0.56,0.02,0.03,0.026,0,2.36,0.51,2017-04-12T22:00:00Z,5,128.5,7.720000000000001,33.4,0.665,0.02,0.055,0.051,0,3.2649999999999997,0.5900000000000001,3.49,2.78,4422252,53.040279999999996,3.7037286432160803,1.714827997077624,2.02,8.14,125224233.279444,0.17401667223519998,0.09689647453656676,1.7959030301925962,356378223.263166,224890787.2,50605707.70336957,2754803.6658242736,4419089.968463259,199571.805027373,7127.56446526332,10691.34669789498,9265.833804842316,0,841052.6069010717,181752.89386421465,50605.707703369575,2754.8036658242736,4419.089968463259,199.571805027373,7.12756446526332,10.691346697894978,9.265833804842316,0,841.0526069010718,181.75289386421466,119.35308420606032,6.497178457132721,10.422382001092592,0.4706882194041816,0.01681029355014934,0.025215440325224006,0.02185338161519414,0,1.9836146389176224,0.42866248552880815,45794601.68931683,2751239.8835916417,11903032.656989744,236991.51847000542,7127.56446526332,19600.80227947413,18175.289386421464,0,1163574.8989542369,210263.15172526796,45794.601689316834,2751.239883591642,11903.032656989744,236.99151847000542,7.12756446526332,19.60080227947413,18.175289386421465,0,1163.574898954237,210.263151725268,108.00613605970952,6.488773310357646,28.073190228749397,0.5589422605424657,0.01681029355014934,0.04622830726291068,0.04286624855288081,0,2.7442804220618795,0.49590365972940564
279,2017-04-26T17:39:00Z,NA,SF,SFC,149,7.92,7.77,0.52,0,0.02,0.023,0.002,2.29,0.5,2017-04-26T17:40:00Z,6,145.5,7.825,10.085,0.54,0.01,0.025,0.0245,0.001,2.325,0.505,2.8,1.14,2503602,3.556,1.930004625346901,0.8106693379827968,1.09,3.84,70894114.782894,0.01166666704,0.0548567126981225,0.21267528559725923,125224233.279444,15077440.000000002,18658410.758637153,991775.9275731964,972992.2925812798,65116.60130531088,0,2504.48466558888,2880.157365427212,250.44846655888801,286763.49420992675,62612.116639722,18658.410758637154,991.7759275731964,972.9922925812798,65.11660130531088,0,2.50448466558888,2.8801573654272117,0.25044846655888803,286.7634942099267,62.612116639722,44.005685751502725,2.3390941688047087,2.2947931428803767,0.15357688987101623,0,0.005906803456577548,0.006792823975064179,5.906803456577548e-4,0.676328995778129,0.14767008641443868,18220125.9421591,979879.6254116492,1262886.3926231929,67621.08597089976,1252.24233279444,3130.6058319861,3067.993715346378,125.22423327944401,291146.3423747073,63238.23780611922,18220.1259421591,979.8796254116493,1262.8863926231927,67.62108597089976,1.25224233279444,3.1306058319861,3.0679937153463777,0.12522423327944401,291.1463423747073,63.238237806119216,42.97199514660165,2.3110368523859655,2.9785056429792283,0.15948369332759377,0.002953401728288774,0.007383504320721934,0.007235834234307494,2.953401728288774e-4,0.6866659018271398,0.14914678727858305
295,2017-05-11T18:01:00Z,NA,SF,SFC,152,7.96,5.33,0.34,0,0.01,0.016,0.005,1.68,0.33,2017-05-11T18:00:00Z,7,150.5,7.9399999999999995,6.55,0.43000000000000005,0,0.015,0.0195,0.0035,1.9849999999999999,0.41500000000000004,1.14,0.773,1506708,8.636,0.9072182080924855,0.11563094183611466,0.758,1.19,42665219.909676,0.028333334239999997,0.033013653079028836,0.8582308105126996,70894114.782894,36616640,10775905.446999887,564317.1536718362,377865.63179282506,24103.999026183963,0,708.9411478289401,1134.3058365263041,354.47057391447004,119102.11283526191,23395.057878355023,10775.905446999888,564.3171536718363,377.86563179282507,24.103999026183963,0,0.70894114782894,1.1343058365263041,0.35447057391447,119.1021128352619,23.395057878355022,25.414871337263886,1.3309366831882932,0.8911925278132666,0.05684905430703765,0,0.001672031009030519,0.0026752496144488306,8.360155045152595e-4,0.28090120951712716,0.055177023298007125,10669564.274825547,562899.2713761784,464356.45182795567,30484.469356644422,0,1063.41172174341,1382.4352382664329,248.12940174012903,140724.8178440446,29421.05763490101,10669.564274825547,562.8992713761784,464.35645182795565,30.48446935664442,0,1.06341172174341,1.3824352382664329,0.248129401740129,140.7248178440446,29.421057634901015,25.164066685909308,1.327592621170232,1.0951803109149898,0.07189733338831232,0,0.0025080465135457783,0.0032604604676095116,5.852108531606816e-4,0.331898155292558,0.06938928687476655
307,2017-05-30T23:23:00Z,NA,SF,SFC,165,7.92,2.16,0.54,0.03,0.01,0.012,0.004,2.05,0.5,2017-05-30T23:20:00Z,8,158.5,7.9399999999999995,3.745,0.44000000000000006,0.015,0.01,0.014,0.0045000000000000005,1.8649999999999998,0.41500000000000004,0.773,0.559,906556.8,7.62,0.6589306585259486,0.06742655488084953,0.534,0.82,25670830.2024096,0.0250000008,0.019863670791974642,1.2585790945599316,42665219.909676,32308800,7039761.28509654,337908.54168463394,92156.87500490017,23039.218751225042,1279.9565972902801,426.65219909676,511.982638916112,170.66087963870402,87463.70081483579,21332.609954838,7039.761285096541,337.9085416846339,92.15687500490017,23.039218751225043,1.27995659729028,0.42665219909676,0.5119826389161121,0.170660879638704,87.46370081483579,21.332609954838,16.60321057805788,0.7969541077467781,0.21735112029457587,0.05433778007364397,0.0030187655596468866,0.0010062551865489622,0.0012075062238587548,4.025020746195849e-4,0.20628231324253724,0.05031275932744811,6762437.355683646,338761.8460828274,159781.2485617366,18772.69676025744,639.9782986451401,426.65219909676,597.313078735464,191.99348959354202,79570.63513154574,17706.066262515542,6762.437355683646,338.76184608282745,159.78124856173662,18.772696760257443,0.63997829864514,0.42665219909676,0.597313078735464,0.19199348959354204,79.57063513154574,17.70606626251554,15.949144706801052,0.798966618119876,0.37684256736258637,0.04427522820815435,0.0015093827798234433,0.0010062551865489622,0.0014087572611685471,4.528148339470331e-4,0.18766659229138147,0.04175959024178194
320,2017-06-15T21:30:00Z,NA,SF,SFC,158,7.91,2.09,0.12,0.07,0,0.013,0.006,1.77,0.05,2017-06-15T21:30:00Z,9,161.5,7.915,2.125,0.33,0.05,0.005,0.0125,0.005,1.91,0.275,0.559,0.396,788309.4,0,0.4555648404993065,0.045324279135612294,0.361,0.592,22322436.6684618,0,0.017272738347800222,0,25670830.2024096,0,4055991.1719807168,203056.26690105992,53652.035123036054,3080.4996242891516,1796.9581141686722,0,333.7207926313248,154.0249812144576,45437.36945826499,1283.54151012048,4055.991171980717,203.05626690105993,53.65203512303606,3.0804996242891516,1.7969581141686721,0,0.3337207926313248,0.1540249812144576,45.43736945826499,1.2835415101204801,9.566016915048861,0.4789062898609904,0.1265378186864058,0.007265329302568754,0.004238108759831774,0,0.00078707734111161515,3.632664651284377e-4,0.10716360721288913,0.0030272205427369814,4145839.0776891503,203184.62105207198,54550.5141801204,8471.373966795169,1283.54151012048,128.354151012048,320.88537753012,128.354151012048,49031.28568660233,7059.47830566264,4145.83907768915,203.18462105207198,54.5505141801204,8.471373966795168,1.2835415101204801,0.128354151012048,0.32088537753012003,0.128354151012048,49.03128568660233,7.0594783056626405,9.777922353040449,0.4792090119152641,0.1286568730663217,0.019979655582064076,0.0030272205427369814,3.027220542736981e-4,7.568051356842453e-4,3.027220542736981e-4,0.11563982473255267,0.016649712985053397
333,2017-07-05T22:05:00Z,NA,SF,SFC,279,7.51,2.21,0.04,0.01,0.01,0.005,0.004,1.77,0.02,2017-07-05T22:10:00Z,10,218.5,7.71,2.15,0.08,0.04,0.005,0.009,0.005,1.77,0.035,0.398,0.239,673822.2,0,0.2804087390761548,0.04641679065896346,0.206,0.401,19080520.142603397,0,0.014764196080294245,0,22322436.6684618,0,6227959.830500842,167641.4993801481,49332.58503730058,892.897466738472,223.224366684618,223.224366684618,111.612183342309,89.2897466738472,39510.71290317739,446.448733369236,6227.959830500842,167.6414993801481,49.33258503730058,0.892897466738472,0.223224366684618,0.223224366684618,0.111612183342309,0.0892897466738472,39.510712903177385,0.446448733369236,14.688584505898213,0.3953808947645002,0.11635043640872779,0.002105890251741679,5.264725629354198e-4,5.264725629354198e-4,2.632362814677099e-4,2.1058902517416794e-4,0.0931856436395693,0.0010529451258708396,4877452.412058903,172105.98671384048,47993.23883719287,1785.794933476944,892.897466738472,111.612183342309,200.90193001615617,111.612183342309,39510.71290317739,781.285283396163,4877.452412058903,172.10598671384048,47.99323883719287,1.785794933476944,0.892897466738472,0.111612183342309,0.20090193001615617,0.111612183342309,39.510712903177385,0.781285283396163,11.503425500138922,0.4059103460232087,0.11319160103111525,0.004211780503483358,0.002105890251741679,2.632362814677099e-4,4.738253066418777e-4,2.632362814677099e-4,0.0931856436395693,0.0018426539702739693
348,2017-08-02T17:44:00Z,NA,SF,SFC,281,7.71,1.9,0.06,0.02,0,0.006,0.004,1.89,0.04,2017-08-02T17:40:00Z,11,280,7.609999999999999,2.0549999999999997,0.05,0.015,0.005,0.0055,0.004,1.83,0.03,0.237,0.102,709837.3200000001,0.508,0.17116061921296297,0.054027588546967986,0.095,0.273,20100354.785330042,0.0016666667200000002,0.01555332753594431,0.10715820882369205,19080520.142603397,2153920,5361626.160071555,147110.81029947218,36252.98827094645,1144.8312085562038,381.610402852068,0,114.4831208556204,76.32208057041359,36062.18306952042,763.220805704136,5361.626160071554,147.11081029947218,36.25298827094645,1.1448312085562038,0.38161040285206793,0,0.11448312085562039,0.07632208057041359,36.06218306952042,0.7632208057041359,12.645344717149893,0.34695945825347213,0.08550233082770389,0.002700073605085386,9.000245350284621e-4,0,2.7000736050853866e-4,1.8000490700569244e-4,0.08505231856018967,0.0018000490700569242,5342545.639928951,145202.75828521184,39210.468893049976,954.0260071301699,286.20780213905095,95.402600713017,104.94286078431868,76.32208057041359,34917.35186096422,572.4156042781019,5342.5456399289515,145.20275828521184,39.21046889304998,0.9540260071301699,0.28620780213905095,0.09540260071301698,0.10494286078431868,0.07632208057041359,34.91735186096422,0.5724156042781019,12.60034349039847,0.3424593355783298,0.09247752097417447,0.0022500613375711553,6.750184012713465e-4,2.2500613375711553e-4,2.4750674713282705e-4,1.8000490700569244e-4,0.08235224495510429,0.001350036802542693
