sample,datetime,id,branch,SUBWS,ec,ph,turb,tn,nh4n,no3n,tp,po4,doc,don,time_round,date_group,ec_ravg,ph_ravg,turb_ravg,tn_ravg,nh4n_ravg,no3n_ravg,tp_ravg,po4_ravg,doc_ravg,don_ravg,firstq,lastq,volume_cf,rain_mm,mean_Q_cfs,sd_Q_cfs,min_Q_cfs,max_Q_cfs,volume_liters,rain_ft,runoff_ft,runoff_ratio,vol_shift,rain_liters,ec_grams,ph_grams,turb_grams,tn_grams,nh4n_grams,no3n_grams,tp_grams,po4_grams,doc_grams,don_grams,ec_kg,ph_kg,turb_kg,tn_kg,nh4n_kg,no3n_kg,tp_kg,po4_kg,doc_kg,don_kg,ec_ha,ph_ha,turb_ha,tn_ha,nh4n_ha,no3n_ha,tp_ha,po4_ha,doc_ha,don_ha,ec_ravg_grams,ph_ravg_grams,turb_ravg_grams,tn_ravg_grams,nh4n_ravg_grams,no3n_ravg_grams,tp_ravg_grams,po4_ravg_grams,doc_ravg_grams,don_ravg_grams,ec_ravg_kg,ph_ravg_kg,turb_ravg_kg,tn_ravg_kg,nh4n_ravg_kg,no3n_ravg_kg,tp_ravg_kg,po4_ravg_kg,doc_ravg_kg,don_ravg_kg,ec_ravg_ha,ph_ravg_ha,turb_ravg_ha,tn_ravg_ha,nh4n_ravg_ha,no3n_ravg_ha,tp_ravg_ha,po4_ravg_ha,doc_ravg_ha,don_ravg_ha
13,2016-05-26T16:50:00Z,TRE,SF,TRE,152,7.21,1.83,0.18,0,0,0.008,0.005,1.63,0.18,2016-05-26T16:50:00Z,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0301,0.0238,83318.1,12.954,0.026750818724715856,0.0030766863421325718,0.02,0.0369,2359305.8900307002,0.042500001360000005,0.05489725012665465,0.7741735927017714,NA,1826514.0000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,2016-07-01T17:55:00Z,TRE  TCK,SF,TRE,168,8.42,0.8,0.09,0.01,0,0.019,0.016,1.2,0.08,2016-07-01T18:00:00Z,3,160,7.8149999999999995,1.315,0.135,0.005,0,0.0135,0.0105,1.415,0.13,0.0238,0.0172,173696.1,1.524,0.022593732927495513,0.0026560284159154396,0.0122,0.0301,4918525.8881967,0.00500000016,0.11444617973434845,0.04368865934717926,2359305.8900307002,214884,396363.38952515763,19865.355594058496,1887.4447120245602,212.337530102763,23.593058900307003,0,44.8268119105833,37.748894240491204,2831.16706803684,188.74447120245603,396.36338952515763,19.865355594058496,1.88744471202456,0.21233753010276302,0.023593058900307003,0,0.044826811910583304,0.0377488942404912,2.8311670680368404,0.18874447120245602,28.110878689727492,1.408890467663723,0.13386132709394044,0.0150593992980683,0.0016732665886742555,0,0.0031792065184810853,0.0026772265418788087,0.20079199064091066,0.013386132709394044,377488.942404912,18437.97553058992,3102.4872453903704,318.5062951541446,11.796529450153502,0,31.850629515414454,24.772711845322355,3338.417834393441,306.7097657039911,377.48894240491205,18.43797553058992,3.1024872453903707,0.3185062951541446,0.011796529450153501,0,0.03185062951541445,0.024772711845322357,3.3384178343934408,0.30670976570399106,26.772265418788088,1.3076578390489306,0.2200345564106646,0.022589098947102454,8.366332943371277e-4,0,0.002258909894710245,0.0017569299181079685,0.23676722229740715,0.021752465652765323
54,2016-09-28T17:25:00Z,TRE ETK,SF,TRE,217,8.41,1,0.08,0.01,0.02,0.018,0.014,1,0.05,2016-09-28T17:30:00Z,4,192.5,8.415,0.9,0.08499999999999999,0.01,0.01,0.0185,0.015,1.1,0.065,0.0172,0.115,64726.74,162.16376,0.025845208433157643,0.012514688606014025,0.0122,0.115,1832857.1933887799,0.5320333503584,0.04264763641589213,12.475095810002362,4918525.8881967,22865090.16,1067320.117738684,41364.80271973425,4918.5258881967,393.48207105573607,49.18525888196701,98.37051776393402,88.5334659875406,68.8593624347538,4918.5258881967,245.926294409835,1067.3201177386838,41.36480271973425,4.9185258881967,0.39348207105573607,0.04918525888196701,0.09837051776393402,0.0885334659875406,0.0688593624347538,4.9185258881967,0.24592629440983502,75.69646225097048,2.9336739517542023,0.3488316232763617,0.027906529862108943,0.003488316232763618,0.006976632465527236,0.006278969218974511,0.004883642725869063,0.3488316232763617,0.017441581163818085,946816.2334778648,41389.39534917523,4426.673299377031,418.0747004967195,49.18525888196701,49.18525888196701,90.99272893163895,73.7778883229505,5410.378477016371,319.7041827327855,946.8162334778648,41.38939534917523,4.426673299377031,0.4180747004967195,0.04918525888196701,0.04918525888196701,0.09099272893163896,0.0737778883229505,5.410378477016371,0.3197041827327855,67.15008748069963,2.935418109870584,0.3139484609487256,0.029650687978490745,0.003488316232763618,0.003488316232763618,0.006453385030612692,0.005232474349145425,0.38371478560399797,0.02267405551296351
64,2016-10-27T17:10:00Z,TRE,SF,TRE,161,7.74,15.6,0.29,0.01,0.09,0.032,0.018,9.09,0.19,2016-10-27T17:10:00Z,5,189,8.075,8.3,0.185,0.01,0.055,0.025,0.016,5.045,0.12,0.122,0.0504,161668.44,93.6498,0.1378247570332481,0.12700762137078236,0.0453,0.759,4577940.48020868,0.307250009832,0.10652130555384795,2.884399587805287,1832857.1933887799,13204621.799999999,295090.00813559355,14186.314676829157,28592.572216864966,531.5285860827462,18.3285719338878,164.9571474049902,58.651430188440955,32.991429480998036,16660.67188790401,348.24286674386815,295.0900081355935,14.186314676829157,28.592572216864966,0.5315285860827461,0.018328571933887802,0.16495714740499018,0.058651430188440955,0.032991429480998036,16.66067188790401,0.3482428667438682,20.928369371318688,1.0061216082857558,2.0278420011960967,0.03769706284274795,0.001299898718715447,0.01169908846843902,0.004159675899889429,0.002339817693687804,1.181607935312341,0.02469807565559349,346410.0095504794,14800.321836614396,15212.714705126875,339.07858077692424,18.3285719338878,100.80714563638288,45.8214298347195,29.325715094220477,9246.764540646394,219.94286320665356,346.4100095504794,14.800321836614396,15.212714705126874,0.33907858077692427,0.018328571933887802,0.10080714563638289,0.0458214298347195,0.029325715094220477,9.246764540646394,0.21994286320665357,24.568085783721944,1.049668215362723,1.078915936533821,0.024048126296235765,0.001299898718715447,0.007149442952934957,0.003249746796788617,0.0020798379499447146,0.6557989035919428,0.01559878462458536
88,2016-11-10T07:00:00Z,5  Tr  01,SF,TRE,140,8.06,19.9,0.26,0,0,0.078,0.015,8.25,0.26,2016-11-10T07:00:00Z,9,150.5,7.9,17.75,0.275,0.005,0.045,0.055,0.0165,8.67,0.225,0.0504,1.63,504988.56,240.19764,0.19176295283663705,0.2958721526593264,0.0345,1.77,14299683.79027032,0.7880500252176,0.3327306226308467,2.368432514526668,4577940.48020868,33867867.24,640911.6672292151,36898.20027048197,91101.01555615274,1190.2645248542567,0,0,357.0793574562771,68.66910720313021,37768.008961721614,1190.2645248542567,640.9116672292151,36.898200270481965,91.10101555615273,1.1902645248542567,0,0,0.35707935745627706,0.0686691072031302,37.76800896172161,1.1902645248542567,45.45472817228476,2.6168936362043946,6.461064933060477,0.08441592374852885,0,0,0.025324777124558658,0.0048701494470305105,2.678582195866781,0.08441592374852885,688980.0422714063,36165.72979364857,81258.44352370406,1258.933632057387,22.8897024010434,206.00732160939057,251.7867264114774,75.53601792344323,39690.74396340925,1030.036608046953,688.9800422714063,36.16572979364857,81.25844352370407,1.2589336320573872,0.0228897024010434,0.2060073216093906,0.2517867264114774,0.07553601792344324,39.690743963409254,1.030036608046953,48.86383278520612,2.564945375436069,5.763010178986105,0.08928607319555938,0.0016233831490101702,0.014610448341091532,0.017857214639111874,0.005357164391733563,2.814946380383635,0.07305224170545765
89,2016-11-10T07:00:00Z,5  Tr  02,SF,TRE,136,8.01,15.7,0.27,0,0,0.071,0.01,5.46,0.27,2016-11-10T07:00:00Z,9,138,8.035,17.799999999999997,0.265,0,0,0.0745,0.0125,6.855,0.265,0.0504,1.63,504988.56,240.19764,0.19176295283663705,0.2958721526593264,0.0345,1.77,14299683.79027032,0.7880500252176,0.3327306226308467,2.368432514526668,14299683.79027032,33867867.24,1944756.9954767635,114540.46716006525,224505.035507244,3860.9146233729866,0,0,1015.2775491091926,142.99683790270322,78076.27349487593,3860.9146233729866,1944.7569954767634,114.54046716006525,224.505035507244,3.8609146233729863,0,0,1.0152775491091925,0.1429968379027032,78.07627349487593,3.8609146233729863,137.92602804799742,8.12343738723867,15.92234294377617,0.2738237321541125,0,0,0.07200549993682216,0.010141619709411576,5.537324361338719,0.2738237321541125,1973356.3630573042,114897.95925482201,254534.37146681163,3789.4162044216346,0,0,1065.3264423751386,178.74604737837902,98024.33238230305,3789.4162044216346,1973.3563630573042,114.89795925482201,254.53437146681162,3.789416204421635,0,0,1.0653264423751387,0.178746047378379,98.02433238230304,3.789416204421635,139.95435198987974,8.1487914365122,18.0520830827526,0.2687529222994067,0,0,0.07555506683511623,0.01267702463676447,6.952080310801635,0.2687529222994067
90,2016-11-10T07:00:00Z,5  Tr  03,SF,TRE,136,7.88,12.2,0.44,0,0,0.078,0.025,4.76,0.44,2016-11-10T07:00:00Z,9,136,7.945,13.95,0.355,0,0,0.0745,0.0175,5.109999999999999,0.355,0.0504,1.63,504988.56,240.19764,0.19176295283663705,0.2958721526593264,0.0345,1.77,14299683.79027032,0.7880500252176,0.3327306226308467,2.368432514526668,14299683.79027032,33867867.24,1944756.9954767635,112681.50826733011,174456.14224129787,6291.86086771894,0,0,1115.375335641085,357.49209475675804,68066.49484168671,6291.86086771894,1944.7569954767634,112.68150826733012,174.45614224129787,6.291860867718941,0,0,1.115375335641085,0.357492094756758,68.0664948416867,6.291860867718941,137.92602804799742,7.9915963310163205,12.37277604548212,0.4462312672141093,0,0,0.07910463373341028,0.02535404927352894,4.8274109816799085,0.4462312672141093,1944756.9954767635,113610.98771369769,199480.58887427094,5076.387745545962,0,0,1065.3264423751386,250.2444663297306,73071.38416828132,5076.387745545962,1944.7569954767634,113.61098771369768,199.48058887427095,5.076387745545963,0,0,1.0653264423751387,0.25024446632973063,73.07138416828131,5.076387745545963,137.92602804799742,8.057516859127496,14.147559494629146,0.36002749968411085,0,0,0.07555506683511623,0.017747834491470257,5.182367671509313,0.36002749968411085
91,2016-11-10T07:00:00Z,5  Tr  04,SF,TRE,134,7.93,7.93,0.23,0,0,0.026,0.005,3.44,0.23,2016-11-10T07:00:00Z,9,135,7.904999999999999,10.065,0.335,0,0,0.052,0.015000000000000001,4.1,0.335,0.0504,1.63,504988.56,240.19764,0.19176295283663705,0.2958721526593264,0.0345,1.77,14299683.79027032,0.7880500252176,0.3327306226308467,2.368432514526668,14299683.79027032,33867867.24,1916157.6278962228,113396.49245684363,113396.49245684363,3288.9272717621734,0,0,371.79177854702823,71.49841895135161,49190.9122385299,3288.9272717621734,1916.1576278962227,113.39649245684363,113.39649245684363,3.288927271762174,0,0,0.3717917785470283,0.0714984189513516,49.1909122385299,3.288927271762174,135.8977041061151,8.042304429563378,8.042304429563378,0.23325725331646624,0,0,0.026368211244470093,0.005070809854705788,3.4887171800375816,0.23325725331646624,1930457.3116864932,113039.00036208687,143926.31734907077,4790.394069740557,0,0,743.5835570940565,214.49525685405482,58628.7035401083,4790.394069740557,1930.457311686493,113.03900036208687,143.92631734907076,4.790394069740557,0,0,0.7435835570940565,0.21449525685405482,58.6287035401083,4.790394069740557,136.91186607705626,8.016950380289849,10.20754023752275,0.33974426026528776,0,0,0.052736422488940185,0.015212429564117363,4.158064080858745,0.33974426026528776
98,2016-12-10T18:30:00Z,D 8 TP 05,SF,TRE,99,7.6,30.7,0.3,0.04,0.04,0.067,0.009,2.95,0.22,2016-12-10T18:30:00Z,10,116.5,7.765,19.314999999999998,0.265,0.02,0.02,0.0465,0.006999999999999999,3.1950000000000003,0.225,1.64,0.608,94138.8,0.254,1.053006711409396,0.3097512187582482,0.608,1.64,2665713.9963636,8.333333600000001e-4,0.06202687351515596,0.013435037311632016,14299683.79027032,35814,1415668.6952367616,108677.59680605443,439000.2923612988,4289.905137081096,571.9873516108129,571.9873516108129,958.0788139481115,128.69715411243286,42184.06718129745,3145.93043385947,1415.6686952367616,108.67759680605442,439.0002923612988,4.289905137081096,0.5719873516108128,0.5719873516108128,0.9580788139481115,0.12869715411243288,42.18406718129744,3.1459304338594705,100.40203512317458,7.707630979152796,31.134772507893533,0.3042485912823472,0.0405664788376463,0.0405664788376463,0.06794885205305755,0.009127457738470417,2.9917778142764146,0.22311563360705464,1665913.1615664922,111037.04463144903,276198.3924090712,3789.4162044216346,285.99367580540644,285.99367580540644,664.9352962475698,100.09778653189223,45687.48970991367,3217.428852810822,1665.9131615664921,111.03704463144904,276.19839240907123,3.789416204421635,0.2859936758054064,0.2859936758054064,0.6649352962475699,0.10009778653189223,45.68748970991367,3.217428852810822,118.14986961464484,7.874967704358088,19.588538468728455,0.2687529222994067,0.02028323941882315,0.02028323941882315,0.047158531648763824,0.0070991337965881016,3.240247497156998,0.22818644346176042
104,2016-12-11T19:20:00Z,D 8 TR 11,SF,TRE,110,7.44,18.5,0.16,0.02,0.02,0.036,0.007,1.64,0.12,2016-12-11T19:20:00Z,11,104.5,7.52,24.6,0.22999999999999998,0.03,0.03,0.051500000000000004,0.008,2.295,0.16999999999999998,0.605,0.215,70582.2,14.224,0.2940925,0.11528367081091366,0.177,0.605,1998665.3583234,0.04666666816,0.0465057255012964,1.0034607063317207,2665713.9963636,2005584.0000000002,293228.53959999594,19832.912132945185,49315.7089327266,426.514239418176,53.314279927272,53.314279927272,95.96570386908958,18.6599979745452,4371.770954036304,319.8856795636319,293.228539599996,19.832912132945182,49.3157089327266,0.426514239418176,0.053314279927272,0.053314279927272,0.09596570386908959,0.0186599979745452,4.371770954036304,0.31988567956363195,20.79635032624085,1.4065895129748356,3.497568009413234,0.030249236838168513,0.003781154604771064,0.003781154604771064,0.006806078288587914,0.0013234041116698724,0.31005467759122723,0.02268692762862638,278567.1126199962,20046.16925265427,65576.56431054456,613.1142191636279,79.97141989090798,79.97141989090798,137.2842708127254,21.3257119709088,6117.813621654461,453.17137938181196,278.5671126199962,20.04616925265427,65.57656431054455,0.613114219163628,0.07997141989090799,0.07997141989090799,0.13728427081272537,0.0213257119709088,6.117813621654461,0.45317137938181196,19.756532809928807,1.4217141313939199,4.650820163868408,0.043483277954867235,0.005671731907156595,0.005671731907156595,0.009736473107285488,0.0015124618419084255,0.4338874908974795,0.03213981414055404
